MOU HOUN (VOLTA NOIRE)                  SAMANDENI
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 21972
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 21972
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999.       3 21972
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31972
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31972
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31972
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41972
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41972
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41972
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 0.000             1 51972
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 51972
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 51972
 0.000 1.000 1.000 2.000 2.000 4.000 3.000 2.000 3.000 2.000             1 61972
 1.000 2.000 2.000 3.000 9999. 9999. 5.000 8.000 8.000 7.000             2 61972
 6.00010.00011.00011.00010.00010.000 9.000 9.00010.00011.000 9999.       3 61972
10.00010.00011.00010.000 9.00010.000 9999. 9999.11.00012.000             1 71972
12.00013.00016.00019.00020.00024.00021.00017.00015.00014.000             2 71972
14.00015.00015.00013.00013.00013.00012.00013.00012.00012.00013.000       3 71972
13.00012.00011.00011.00011.00011.00015.00019.00021.00022.000             1 81972
20.00022.00026.00032.00069.00090.000102.00108.00114.00112.00             2 81972
113.00134.00157.00160.00163.00165.00 9999. 9999. 9999. 9999. 9999.       3 81972
 9999. 9999. 9999. 9999. 9999.187.00196.00198.00203.00208.00             1 91972
214.00217.00222.00239.00257.00265.00278.00290.00295.00296.00             2 91972
294.00302.00308.00312.00307.00308.00302.00300.00295.00290.00 9999.       3 91972
284.00281.00273.00269.00265.00259.00256.00254.00251.00246.00             1101972
243.00239.00237.00234.00228.00221.00214.00213.00208.00196.00             2101972
186.00178.00171.00163.00157.00151.00141.00133.00118.0089.00048.000       3101972
43.00040.00036.000 9999.30.00028.00026.000 9999.22.00021.000             1111972
20.00019.00018.00017.00017.00018.00015.00015.00014.00013.000             2111972
13.00012.00012.00012.00011.00010.00010.00010.00010.00010.000 9999.       3111972
 9.000 9.000 9.000 8.000 9999. 9999. 9999. 9999. 9999. 9999.             1121972
 7.000 6.000 6.000 6.000 6.000 6.000 6.000 5.000 5.000 5.000             2121972
 5.000 9999. 5.000 5.000 9999. 4.000 9999. 4.000 4.000 9999. 9999.       3121972
 4.000 4.000 4.000 4.000 4.000 3.000 5.000 5.000 5.000 5.000             1 11973
 9.000 9.000 7.000 6.000 5.000 5.000 5.000 4.000 4.000 9999.             2 11973
 9999. 4.000 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.       3 11973
 9999. 9999. 9999. 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31973
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31973
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31973
 0.000 0.000 3.000 2.000 1.000 1.000 0.000 0.000 0.000 0.000             1 41973
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000             2 41973
 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 9999.       3 41973
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 51973
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 51973
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 51973
 0.000 0.000 0.000 0.000 1.000 0.000 2.000 1.000 1.000 2.000             1 61973
 7.000 9.000 6.000 5.000 4.000 9.00013.00013.00011.000 9.000             2 61973
 7.000 6.000 6.000 5.000 4.000 3.000 3.000 2.000 2.000 1.000 9999.       3 61973
 1.000 2.000 1.000 2.000 3.000 3.000 4.000 6.000 3.000 4.000             1 71973
 5.000 4.000 4.000 5.000 7.000 9.00011.000 9.000 8.000 7.000             2 71973
 7.00012.00011.00013.00022.00024.00017.00026.00026.00030.00036.000       3 71973
58.00077.00089.00092.000115.00129.00146.00153.00158.00190.00             1 81973
208.00217.00235.00248.00258.00263.00265.00269.00269.00270.00             2 81973
270.00265.00260.00254.00248.00243.00236.00229.00220.00211.00199.00       3 81973
193.00172.00165.00153.00148.00146.00148.00152.00156.00165.00             1 91973
170.00180.00182.00185.00201.00203.00201.00198.00197.00204.00             2 91973
208.00210.00209.00207.00203.00197.00193.00180.00173.00165.00 9999.       3 91973
159.00155.00152.00145.00135.00126.00114.00101.0094.00086.000             1101973
80.00076.00070.00063.00054.00052.00050.00047.00042.00039.000             2101973
35.00031.00026.00026.00024.00022.00021.00020.00019.00018.00015.000       3101973
17.00016.00016.00017.00016.00016.00014.00014.00013.00013.000             1111973
13.00012.00012.00011.00010.00010.00010.000 9.000 9.000 9.000             2111973
 8.000 8.000 8.000 7.000 7.000 6.000 6.000 6.000 6.000 6.000 9999.       3111973
 5.000 5.000 5.000 5.000 4.000 4.000 4.000 4.000 4.000 4.000             1121973
 4.000 4.000 4.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000             2121973
 3.000 3.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000       3121973
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1 11974
 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 11974
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 11974
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 21974
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 21974
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21974
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31974
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31974
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31974
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41974
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000             2 41974
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 9999.       3 41974
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1 51974
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2 51974
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000       3 51974
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1 61974
 1.000 1.000 1.000 1.000 9999. 9999. 9999. 1.000 3.000 5.000             2 61974
 5.000 5.000 4.000 3.000 3.000 2.000 2.000 2.000 1.000 1.000 9999.       3 61974
 3.000 9999. 9999. 4.000 1.000 2.000 3.000 2.000 9999. 2.000             1 71974
 5.00021.00017.00023.000 9999. 9999.36.00043.000 9999.41.000             2 71974
40.00041.00039.00037.000 9999.36.00040.00032.00043.00044.00054.000       3 71974
63.00077.000104.00111.00129.00138.00148.00167.00193.00211.00             1 81974
222.00223.00223.00217.00213.00219.00223.00230.00250.00267.00             2 81974
311.00339.00343.00322.00284.00269.00251.00235.00228.00226.00231.00       3 81974
237.00245.00250.00254.00282.00281.00285.00294.00303.00304.00             1 91974
314.00334.00339.00350.00367.00367.00379.00394.00386.00408.00             2 91974
433.00378.00379.00388.00391.00404.00416.00422.00432.00443.00 9999.       3 91974
451.00451.00455.00455.00457.00455.00459.00457.00460.00459.00             1101974
461.00461.00461.00462.00459.00441.00418.00398.00377.00356.00             2101974
336.00315.00297.00277.00258.00239.00223.00205.00189.00174.00158.00       3101974
143.00128.00111.0098.00087.00073.00059.00047.00035.00033.000             1111974
32.00031.00029.00026.00024.00023.00022.00020.00019.00018.000             2111974
16.00017.00016.00015.00015.00014.00014.00013.00013.00013.000 9999.       3111974
12.00012.00012.00011.00011.00010.00010.00010.000 9.000 9.000             1121974
 9.000 9.000 8.000 8.000 8.000 8.000 8.000 7.000 7.000 7.000             2121974
 7.000 7.000 6.000 6.000 6.000 6.000 6.000 6.000 5.000 5.000 5.000       3121974
 5.000 5.000 5.000 5.000 4.000 4.000 4.000 4.000 4.000 4.000             1 11975
 4.000 4.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000             2 11975
 3.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000       3 11975
 2.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1 21975
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000             2 21975
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21975
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31975
 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999. 9999. 9999.             2 31975
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31975
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41975
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41975
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41975
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 51975
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 4.000 5.000             2 51975
 5.000 4.000 5.000 4.000 4.000 3.000 4.000 4.000 4.000 6.000 4.000       3 51975
 4.000 9999. 9999. 2.000 2.000 2.000 2.000 8.000 5.000 6.000             1 61975
 9999. 3.000 2.000 1.000 1.000 0.000 0.000 2.000 3.000 3.000             2 61975
 1.000 1.000 1.000 1.000 1.000 8.000 9.00013.00012.00011.000 9999.       3 61975
 9.000 8.000 9.000 8.00010.00012.00018.00028.00026.00022.000             1 71975
18.00032.00049.00071.00091.000102.00109.00111.00124.00128.00             2 71975
113.00116.00120.00140.00149.00151.00149.00154.00152.00150.00157.00       3 71975
168.00176.00182.00185.00183.00174.00167.00155.00148.00137.00             1 81975
136.00133.00131.00137.00141.00140.00141.00140.00136.00134.00             2 81975
131.00129.00128.00131.00 9999.138.00136.00134.00133.00133.00137.00       3 81975
143.00152.00164.00168.00176.00177.00177.00178.00182.00189.00             1 91975
199.00199.00203.00214.00230.00233.00242.00251.00266.00280.00             2 91975
296.00308.00314.00317.00319.00318.00321.00328.00337.00342.00 9999.       3 91975
343.00351.00345.00347.00348.00354.00359.00362.00365.00369.00             1101975
370.00370.00365.00354.00353.00344.00334.00328.00306.00303.00             2101975
292.00280.00269.00256.00251.00234.00226.00218.00208.00198.00187.00       3101975
175.00162.00149.00127.00101.00 9999.49.00043.00036.00035.000             1111975
 9999.30.00028.00027.00024.00023.00023.00022.00021.00021.000             2111975
19.00019.00018.00018.00017.00017.00017.00016.00016.00015.000 9999.       3111975
15.00014.00014.00014.00014.00013.00013.00012.00012.00012.000             1121975
11.00011.00011.00010.00010.00010.000 9.000 9.000 9.000 9.000             2121975
 9.000 8.000 8.000 8.000 8.000 7.000 7.000 7.000 7.000 7.000 7.000       3121975
 7.000 6.000 6.000 6.000 6.000 9999. 9999. 9999. 9999. 9999.             1 11976
 9999. 5.000 9999. 9999. 9999. 5.000 4.000 4.000 4.000 4.000             2 11976
 4.000 4.000 4.000 4.000 4.000 4.000 4.000 3.000 3.000 3.000 3.000       3 11976
 3.000 3.000 3.000 3.000 3.000 3.000 2.000 2.000 2.000 2.000             1 21976
 9999. 9999. 9999. 9999. 2.000 1.000 1.000 1.000 1.000 1.000             2 21976
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 9999. 9999.       3 21976
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31976
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31976
 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999. 9999. 9999. 9999.       3 31976
 9999. 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.             1 41976
 9999. 9999. 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41976
 0.000 0.000 9999. 9999. 0.000 0.000 9999. 9999. 0.000 0.000 9999.       3 41976
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.             1 51976
 9999. 9999. 9999. 6.000 5.000 4.000 8.00012.00015.00013.000             2 51976
10.000 8.000 6.000 9999. 9999. 4.000 3.000 2.000 2.000 2.000 2.000       3 51976
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 7.000 5.000 5.000             1 61976
 8.00010.00020.00014.00020.00015.00011.00011.00010.000 8.000             2 61976
 7.000 7.000 5.000 7.000 7.000 8.000 9.00013.00013.00014.000 9999.       3 61976
13.00014.00015.00013.00012.00012.00011.00011.00011.00011.000             1 71976
11.00012.00012.00011.00010.00010.00010.00011.00012.00014.000             2 71976
15.00015.00016.00016.00017.00018.00018.000 9999. 9999. 9999.16.000       3 71976
18.00020.00021.00021.00023.00024.00025.00029.00037.00041.000             1 81976
 9999. 9999.68.00070.00074.00080.00092.000106.00117.00116.00             2 81976
121.00130.00135.00137.00136.00135.00 9999. 9999.138.00134.00134.00       3 81976
133.00129.00125.00121.00118.00115.00115.00114.00114.00109.00             1 91976
104.00 9999. 9999. 9999. 9999.97.00089.00088.00069.00068.000             2 91976
74.00081.00087.000106.00104.0099.00095.00090.00085.000 9999. 9999.       3 91976
86.00087.00090.000101.00103.00107.00101.0099.00093.00096.000             1101976
83.00082.00079.00075.00072.00070.00072.000 9999. 9999. 9999.             2101976
87.00087.00091.00096.000101.00107.00114.00117.00129.00134.00140.00       3101976
143.00 9999.144.00142.00139.00134.00126.00120.00108.0099.000             1111976
96.000 9999. 9999.88.00086.00081.00076.00068.00052.00051.000             2111976
44.00036.00033.00030.00027.00026.00024.00022.00020.00021.000 9999.       3111976
20.00019.00018.00016.00016.00016.00015.00015.00014.00014.000             1121976
13.00013.00013.00012.00012.00012.00011.00011.00010.00010.000             2121976
10.00010.000 9.000 9.000 9.000 8.000 8.000 8.000 8.000 7.000 7.000       3121976
 7.000 7.000 7.000 7.000 6.000 6.000 6.000 6.000 6.000 5.000             1 11977
 5.000 5.000 5.000 5.000 5.000 9999. 9999. 9999. 9999. 4.000             2 11977
 4.000 4.000 4.000 4.000 4.000 3.000 3.000 3.000 3.000 3.000 3.000       3 11977
 3.000 3.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000             1 21977
 2.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2 21977
 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 51977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 51977
 0.000 0.000 0.000 9999. 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 51977
 0.000 9999. 9999. 9999. 9999. 9999. 0.000 0.000 0.000 0.000             1 61977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 6.000             2 61977
 5.000 4.000 3.000 3.000 3.000 3.000 4.000 5.000 5.000 9999. 9999.       3 61977
 5.000 5.000 4.000 4.000 3.000 3.000 2.000 2.000 2.000 1.000             1 71977
 1.000 1.000 1.000 0.000 0.000 0.000 0.000 3.00010.00013.000             2 71977
15.00022.00026.00033.00041.00056.00064.00067.00072.00075.00077.000       3 71977
78.00078.00078.00078.00075.00071.00068.00076.00082.000100.00             1 81977
107.00111.00107.00101.0098.000107.00126.00145.00161.00173.00             2 81977
187.00 9999. 9999. 9999.246.00256.00265.00272.00279.00287.00295.00       3 81977
304.00310.00312.00317.00320.00326.00334.00 9999. 9999. 9999.             1 91977
347.00349.00351.00354.00357.00358.00359.00358.00353.00349.00             2 91977
340.00332.00316.00298.00232.00266.00254.00241.00229.00220.00 9999.       3 91977
212.00202.00194.00187.00177.00162.00138.0088.00062.00052.000             1101977
47.00044.00042.00040.00039.000 9999. 9999. 9999. 9999. 9999.             2101977
 9999. 9999.16.00015.00015.00014.00014.00013.00013.00012.00011.000       3101977
11.00010.00010.000 9.000 8.000 9999. 9999. 9999. 9999. 9999.             1111977
 9999. 9999. 9999. 6.000 6.000 6.000 5.000 5.000 5.000 5.000             2111977
 5.000 4.000 4.000 4.000 4.000 4.000 4.000 3.000 3.000 3.000 9999.       3111977
 3.000 3.000 3.000 3.000 3.000 3.000 2.000 2.000 2.000 2.000             1121977
 2.000 2.000 2.000 2.000 2.000 1.000 1.000 1.000 1.000 1.000             2121977
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 0.000 0.000       3121977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 11978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 11978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 11978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 21978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 21978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21978
 9999. 9999. 9999. 9999. 9999. 9999. 0.000 0.000 0.000 0.000             1 31978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.             2 31978
 9999. 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41978
 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 0.000 9999. 9999.       3 41978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 51978
 0.000 0.000 0.000 0.000 0.000 3.000 3.000 3.000 4.000 5.000             2 51978
 5.000 5.000 5.000 5.000 5.000 5.000 4.000 3.000 2.000 2.000 1.000       3 51978
 1.000 1.000 1.000 5.000 4.000 3.000 7.000 9.00011.00012.000             1 61978
13.00013.00012.00013.00013.00013.00012.000 9.000 5.000 4.000             2 61978
 4.000 4.000 3.000 3.000 3.000 3.000 5.000 4.000 3.000 3.000 9999.       3 61978
 3.000 3.000 4.000 6.000 5.000 4.000 7.00017.00010.000 7.000             1 71978
 9999. 9999. 8.000 9.00010.00010.00010.00011.00012.00014.000             2 71978
19.00022.00024.00021.00021.00025.00032.00036.00037.00036.00038.000       3 71978
40.00043.00050.00055.00054.00046.00042.00042.00051.00058.000             1 81978
63.00062.00061.00055.00051.000 9999. 9999. 9999.42.00041.000             2 81978
38.00036.00032.00032.00032.00037.00043.00054.00059.00075.00079.000       3 81978
74.00074.00076.00083.00089.00094.00096.00096.00096.000103.00             1 91978
107.00 9999. 9999.142.00149.00157.00172.00178.00144.00151.00             2 91978
215.00226.00225.00224.00223.00222.00213.00184.00208.00209.00 9999.       3 91978
202.00194.00166.00144.00127.00119.00114.00113.00112.00108.00             1101978
105.00100.0088.00077.00067.00057.00064.00041.00033.00030.000             2101978
28.00026.000 9999.23.00022.00022.00021.00018.00019.00026.00023.000       3101978
20.00017.00016.00016.00017.00018.00018.00016.00015.00015.000             1111978
13.00013.00012.00012.00011.00010.00010.000 9999. 9999. 8.000             2111978
 8.000 7.000 7.000 7.000 6.000 6.000 5.000 5.000 5.000 5.000 9999.       3111978
 5.000 4.000 4.000 4.000 4.000 3.000 3.000 3.000 3.000 9999.             1121978
 9999. 2.000 2.000 2.000 2.000 2.000 2.000 1.000 1.000 1.000             2121978
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000       3121978
 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 11979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 11979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 11979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 21979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 21979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21979
 9999. 9999. 9999. 9999. 0.000 0.000 0.000 0.000 0.000 0.000             1 31979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 31979
 9999. 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000             2 41979
 2.000 4.000 6.000 9.00010.00010.00012.00012.00012.000 9999. 9999.       3 41979
12.00013.00013.00014.00015.00016.00017.00017.00018.00021.000             1 51979
24.00027.00030.00031.00031.00031.00032.00033.00037.00039.000             2 51979
40.00042.00043.00044.00046.00048.00051.00053.00055.00056.00057.000       3 51979
58.00059.00059.00062.00064.00066.00068.00069.00070.00071.000             1 61979
72.00072.000 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.             2 61979
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.       3 61979
78.00079.00080.00082.00090.00096.00098.000100.00101.00103.00             1 91979
108.00113.00116.00122.00124.00130.00147.00197.00201.00207.00             2 91979
226.00230.00231.00232.00236.00244.00249.00255.00259.00263.00 9999.       3 91979
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.33.00029.000             1111979
25.00023.00022.00020.00019.00018.00017.00016.00015.00014.000             2111979
14.00013.00013.00012.00011.00011.00011.00010.00010.000 9.000 9999.       3111979
 9.000 8.000 8.000 8.000 7.000 7.000 6.000 6.000 6.000 6.000             1121979
 5.000 6.000 5.000 5.000 4.000 4.000 4.000 4.000 4.000 4.000             2121979
 3.000 3.000 3.000 3.000 3.000 3.000 2.000 2.000 2.000 2.000 2.000       3121979
 9999. 2.000 2.000 2.000 1.000 1.000 1.000 1.000 1.000 1.000             1 11980
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2 11980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 11980
 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999. 9999.             1 21980
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.             2 21980
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.       3 21980
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.             1 31980
 9999. 9999. 9999. 9999. 9999. 9999. 0.000 0.000 0.000 0.000             2 31980
 0.000 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.       3 31980
 9999. 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 51980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 51980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 51980
 9999. 9999. 9999. 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 61980
 0.000 0.000 0.000 0.000 0.000 2.000 3.000 6.000 7.000 9.000             2 61980
 7.000 5.000 4.000 5.000 5.000 5.000 6.000 5.000 5.000 4.000 9999.       3 61980
 4.000 9999. 9999. 9999. 9999. 9999. 9999. 2.000 1.000 1.000             1 71980
 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 2.000             2 71980
 4.000 5.000 6.000 7.000 8.00010.00012.00015.00018.00021.00020.000       3 71980
18.00015.00014.00013.00012.00012.00017.00045.00047.00046.000             1 81980
56.000 9999. 9999.62.00064.000 9999. 9999.77.00076.000 9999.             2 81980
121.00169.00193.00200.00202.00200.00200.00199.00193.00183.00182.00       3 81980
192.00206.00222.00230.00242.00246.00251.00263.00267.00271.00             1 91980
279.00283.00 9999. 9999.272.00272.00272.00261.00256.00 9999.             2 91980
 9999.232.00229.00 9999. 9999.217.00219.00218.00206.00201.00 9999.       3 91980
193.00187.00180.00172.00167.00164.00160.00154.00149.00143.00             1101980
133.00119.0096.00076.00053.00045.00043.00034.00033.000 9999.             2101980
 9999. 9999.25.00023.00021.000 9999.20.000 9999. 9999.24.00024.000       3101980
28.00032.00031.00029.00027.00025.00023.00022.00020.00018.000             1111980
16.00015.00014.000 9999. 9999. 9999. 9999.12.00011.00010.000             2111980
 9.000 9999. 9999. 8.000 8.000 8.000 7.000 7.000 6.000 6.000 9999.       3111980
 6.000 6.000 5.000 4.000 4.000 4.000 4.000 4.000 9999. 9999.             1121980
 3.000 3.000 3.000 3.000 2.000 2.000 2.000 2.000 2.000 2.000             2121980
 2.000 2.000 1.000 1.000 1.000 1.000 1.000 1.000 9999. 9999. 9999.       3121980
 9999. 9999. 9999. 1.000 9999. 9999. 9999. 9999. 9999. 9999.             1 11981
 9999. 9999. 9999. 9999. 9999. 9999. 0.000 0.000 9999. 0.000             2 11981
 0.000 9999. 9999. 0.000 0.000 0.000 0.000 9999. 0.000 9999. 9999.       3 11981
 9999. 9999. 0.000 0.000 0.000 0.000 9999. 0.000 9999. 0.000             1 21981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 21981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21981
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.             1 31981
 9999. 9999. 9999. 0.000 0.000 0.000 0.000 0.000 0.000 9999.             2 31981
 9999. 9999. 9999. 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999.             1 41981
 9999. 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41981
 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999. 9999. 9999.       3 41981
