MOU HOUN (VOLTA NOIRE)                  SAMANDENI
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000       3121981
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1 11982
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2 11982
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000       3 11982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 21982
 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000             2 21982
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 9999. 9999. 9999.       3 21982
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000             1 31982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31982
 0.000 0.000 0.000 0.000 1.000 1.000 1.000 0.000 0.000 0.000 0.000       3 31982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41982
 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000             2 41982
 1.000 1.000 1.000 1.000 3.000 5.000 5.000 3.000 1.000 1.000 9999.       3 41982
 1.000 1.000 1.000 1.000 1.000 1.000 2.000 1.000 1.000 1.000             1 51982
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2 51982
 1.000 1.000 1.000 1.000 2.000 2.000 1.000 0.000 1.000 2.000 2.000       3 51982
 1.000 2.000 2.000 2.000 4.000 4.000 5.000 6.000 7.000 9.000             1 61982
 9.000 9.00011.00010.00011.000 9.000 8.000 8.000 8.000 9.000             2 61982
 9.000 9.000 8.000 7.000 7.000 6.000 5.000 5.000 5.000 3.000 9999.       3 61982
 3.000 4.000 3.000 3.000 3.000 3.000 3.000 2.000 4.000 7.000             1 71982
 5.000 4.000 4.000 6.00011.00011.00011.00012.00012.00011.000             2 71982
11.00011.00012.00011.00011.00011.00011.00011.00011.00011.00012.000       3 71982
13.00013.00013.00013.00015.00016.00017.00019.00022.00023.000             1 81982
28.00032.00034.00036.00038.00040.00043.00046.00049.00050.000             2 81982
53.00058.00059.00061.00063.00062.00062.00064.00063.00061.00058.000       3 81982
58.00058.00060.00063.00064.00064.00063.00060.00057.00055.000             1 91982
53.00052.00052.00052.00052.00051.00050.00049.00048.00046.000             2 91982
43.00040.00036.00032.00028.00025.00023.00022.00021.00021.000 9999.       3 91982
21.00020.00020.00019.00019.00018.00017.00016.00016.00015.000             1101982
15.00015.00015.00015.00015.00015.00014.00014.00013.00013.000             2101982
12.00011.00012.00012.00013.00013.00013.00014.00013.00012.00013.000       3101982
13.00013.00013.00013.00013.00012.00011.00011.00010.000 9.000             1111982
 8.000 8.000 8.000 7.000 7.000 7.000 6.000 6.000 6.000 5.000             2111982
 5.000 5.000 5.000 5.000 5.000 5.000 5.000 5.000 4.000 4.000 9999.       3111982
 4.000 4.000 4.000 4.000 4.000 3.000 3.000 3.000 3.000 3.000             1121982
 3.000 3.000 3.000 3.000 2.000 2.000 2.000 2.000 2.000 2.000             2121982
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000       3121982
 2.000 2.000 2.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1 11983
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2 11983
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000       3 11983
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000             1 21983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 21983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31983
 0.000 0.000 0.000 0.000 0.000 2.000 1.000 0.000 0.000 0.000             1 41983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 2.000             2 41983
 2.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41983
 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000             1 51983
 0.000 0.000 0.000 2.000 2.000 4.000 4.000 3.000 1.000 1.000             2 51983
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000       3 51983
 1.000 1.000 1.000 1.000 1.000 2.000 2.000 2.000 2.000 2.000             1 61983
 2.000 2.000 1.000 1.000 3.000 3.000 2.000 2.000 3.000 4.000             2 61983
 3.000 3.000 3.000 3.000 3.000 2.000 2.000 2.000 2.000 2.000 9999.       3 61983
 1.000 1.000 1.000 1.000 1.000 1.000 2.000 2.000 2.000 2.000             1 71983
 3.000 5.000 4.000 3.000 2.000 2.000 2.000 3.000 2.000 4.000             2 71983
 5.000 4.000 2.000 2.000 2.000 2.000 4.000 3.000 3.000 4.000 6.000       3 71983
10.000 9.000 9.000 9.000 8.000 7.000 5.000 3.000 4.000 7.000             1 81983
 9.000 9.000 9.000 9.00010.00010.00011.00012.00012.00012.000             2 81983
11.00010.00010.00010.000 9.000 9.000 8.000 6.000 4.000 4.000 4.000       3 81983
 4.000 5.000 6.000 6.000 7.000 8.000 9.000 9.00010.00011.000             1 91983
12.00013.00014.00015.00016.00017.00018.00019.00020.00020.000             2 91983
20.00020.00019.00018.00017.00015.00014.00012.00010.000 8.000 9999.       3 91983
 7.000 7.000 8.000 7.000 7.000 8.000 9.000 9.000 8.000 7.000             1101983
 6.000 5.000 4.000 4.000 3.000 3.000 3.000 2.000 2.000 2.000             2101983
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 1.000       3101983
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1111983
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2111983
 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 9999.       3111983
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1121983
 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000             2121983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3121983
BOUGOURIBA                              DAN
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1 11977
 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000             2 11977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 11977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 21977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 21977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 51977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 51977
 0.000 0.000 0.000 1.000 4.000 3.000 2.000 3.000 2.000 2.000 1.000       3 51977
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000             1 61977
 0.000 0.000 0.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000             2 61977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 9999.       3 61977
 1.000 1.000 1.000 1.000 2.000 2.000 2.000 1.000 1.000 1.000             1 71977
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000             2 71977
 0.000 1.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000 0.000       3 71977
 0.000 0.000 0.000 1.000 1.000 1.000 1.000 3.000 5.000 5.000             1 81977
 8.00012.00017.00022.00024.00024.00023.00022.00019.00016.000             2 81977
13.00012.00014.00017.00017.00023.00024.00029.00033.00035.00036.000       3 81977
36.00037.00036.00035.00034.00033.00033.00032.00032.00031.000             1 91977
31.00033.00035.00036.00036.00038.00039.00041.00043.00045.000             2 91977
46.00046.00047.00047.00047.00047.00046.00046.00044.00042.000 9999.       3 91977
42.00042.00042.00042.00040.00037.00035.00034.00032.00030.000             1101977
29.00026.00024.00023.00022.00020.00019.00016.00014.00013.000             2101977
11.00010.000 9.000 8.000 7.000 6.000 6.000 6.000 5.000 5.000 4.000       3101977
 4.000 4.000 4.000 3.000 3.000 3.000 2.000 2.000 2.000 2.000             1111977
 2.000 2.000 2.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2111977
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 9999.       3111977
 1.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1121977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2121977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3121977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 11978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 11978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 11978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 51978
 0.000 0.000 0.000 0.000 0.000 1.000 2.000 2.000 1.000 1.000             2 51978
 1.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 51978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 61978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 61978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 61978
